Marka;Seri;Model;Ürün Kodu;Yakıt;Kafa;SpecKey;Veri Durumu;Kaynak Katalog;Sayfa
Ecoflam;BLU Serisi;BLU 5000.1 PR TC;;gas;TC;blu5000pr;Datasheet ölçüleri hazır;BLU 5000.1 - 6000.1 PR.pdf;10
Ecoflam;BLU Serisi;BLU 3000.1 PR TC;3145867;gas;TC;blu3000pr;Datasheet ölçüleri hazır;BLU 3000.1-4000.1 PR-TR.pdf;10
Baltur;TBML;TBML 800ME;;dual;;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 40 LN P TC GN SR TW 230/50/60;3142741;gas-basic;TC;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 40 LN P TL GN SR TW 230/50/60;3142742;gas-basic;TL;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 70 LN P TC GN SR TW 230/50/60;3142743;gas-basic;TC;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 70 LN P TL GN SR TW 230/50/60;3142744;gas-basic;TL;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 105 LN P TC GN SR TW 230/50/60;3142745;gas-basic;TC;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 105 LN P TL GN SR TW 230/50/60;3142746;gas-basic;TL;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 120 LN P TC GN SR TW 230/50/60;3142747;gas-basic;TC;;Ölçü verisi bekleniyor;;
Ecoflam;MAX GAS Serisi;MAX GAS 120 LN P TL GN SR TW 230/50/60;3142748;gas-basic;TL;;Ölçü verisi bekleniyor;;
Ecoflam;MULTICALOR Serisi;MULTICALOR 300.1 PR TC SGT 230-400-50;3142642;dual;TC;;Ölçü verisi bekleniyor;;
Ecoflam;MULTICALOR Serisi;MULTICALOR 300.1 PR TL SGT 230-400-50;3142643;dual;TL;;Ölçü verisi bekleniyor;;
Ecoflam;MULTICALOR Serisi;MULTICALOR 300.1 PR TL LPG;3147139;dual;TL;;Ölçü verisi bekleniyor;;
Ecoflam;MULTICALOR Serisi;MULTICALOR 400.1 PR TC SGT 230-400-50;3142644;dual;TC;;Ölçü verisi bekleniyor;;
Ecoflam;MULTICALOR Serisi;MULTICALOR 400.1 PR TL SGT 230-400-50;3142645;dual;TL;;Ölçü verisi bekleniyor;;
